,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
87,87,0.7720654700304684,2025-04-07 01:10:00.516323,2025-04-07 01:13:58.822369,0 days 00:03:58.306046,0.8653877200985082,0.22966373010287,0.04881845169898051,5,978,7.60588538971441e-06,5.479819903535428e-06,0.9261248423230468,COMPLETE
88,88,0.7601750620212944,2025-04-07 01:13:58.833190,2025-04-07 01:26:06.218873,0 days 00:12:07.385683,0.8214928359697788,0.3427272591109479,0.04040089739139035,10,952,6.610317459708966e-05,1.6734678117945775e-08,0.8888345784129617,COMPLETE
89,89,0.773445126965724,2025-04-07 01:26:06.232287,2025-04-07 01:30:38.815770,0 days 00:04:32.583483,0.8957325619540731,0.33139293642298334,0.026655669113960785,6,923,0.16847743582671756,0.00017443774958257542,0.937449852860681,COMPLETE
90,90,0.7727593942492093,2025-04-07 01:30:38.827772,2025-04-07 01:36:13.980592,0 days 00:05:35.152820,0.8508929125910041,0.3311033192662658,0.023309590688579844,7,1000,0.06213047507197533,0.00017025544083121638,0.940655825920158,COMPLETE
91,91,0.7731095369948747,2025-04-07 01:36:13.993520,2025-04-07 01:40:47.603387,0 days 00:04:33.609867,0.899172877161733,0.29053586447387936,0.026609875008494936,6,925,0.21233807028676976,0.0012262368872235604,0.9185615220995802,COMPLETE
92,92,0.7730003661349895,2025-04-07 01:40:47.616280,2025-04-07 01:45:36.372920,0 days 00:04:48.756640,0.9099669870884122,0.31411022416662077,0.019663166973769273,6,964,0.4377161410498865,0.0004613713469602775,0.9349613264344016,COMPLETE
93,93,0.7732491977660422,2025-04-07 01:45:36.383942,2025-04-07 01:50:08.121996,0 days 00:04:31.738054,0.879981545965424,0.3485030509035291,0.03260320238514468,6,901,0.9448247162113507,1.3718166116368526e-07,0.7746934974505192,COMPLETE
94,94,0.7727496636396405,2025-04-07 01:50:08.133016,2025-04-07 01:54:12.885138,0 days 00:04:04.752122,0.888297902436199,0.3765353981093207,0.025171903772263665,5,950,0.01225793807711243,0.0003059107613742903,0.9625147649061673,COMPLETE
95,95,0.7722169404585554,2025-04-07 01:54:12.898315,2025-04-07 01:59:17.282841,0 days 00:05:04.384526,0.856494069083675,0.2553958642190618,0.028296989962062168,7,872,0.0444590866856102,1.0647286890092764e-05,0.9026027181022164,COMPLETE
96,96,0.7731656373183556,2025-04-07 01:59:17.295892,2025-04-07 02:04:04.418468,0 days 00:04:47.122576,0.9405153792941593,0.30127988190254745,0.022023956148268332,6,977,0.11910532824289081,0.7679854464537271,0.980359867023231,COMPLETE
